Function,CPU Time: Total,CPU Time: Self,Module,Function (Full),Source File,Start Address
facebook::velox::FlatVector<int>::slice,0.0239865,0,libBOSSVeloxEngine.so,"facebook::velox::FlatVector<int>::slice(int, int) const",FlatVector-inl.h,0x1decdb0
facebook::velox::FlatVector<int>::FlatVector,0.0119853,0.0119853,libBOSSVeloxEngine.so,"facebook::velox::FlatVector<int>::FlatVector(facebook::velox::memory::MemoryPool*, std::shared_ptr<facebook::velox::Type const> const&, boost::intrusive_ptr<facebook::velox::Buffer>, unsigned long, boost::intrusive_ptr<facebook::velox::Buffer>, std::vector<boost::intrusive_ptr<facebook::velox::Buffer>, std::allocator<boost::intrusive_ptr<facebook::velox::Buffer>>>&&, facebook::velox::SimpleVectorStats<int> const&, std::optional<int>, std::optional<int>, std::optional<bool>, std::optional<int>, std::optional<int>)",FlatVector.h,0x1deb800
facebook::velox::FlatVector<double>::~FlatVector,0.0104547,0,libBOSSVeloxEngine.so,facebook::velox::FlatVector<double>::~FlatVector(void),FlatVector.h,0x1e21d70
facebook::velox::FlatVector<bool>::set,0.00798722,0.00798722,libBOSSVeloxEngine.so,"facebook::velox::FlatVector<bool>::set(int, bool)",FlatVector.cpp,0x4545e70
facebook::velox::exec::wrapChild,0.00799944,0,libBOSSVeloxEngine.so,"facebook::velox::exec::wrapChild(int, boost::intrusive_ptr<facebook::velox::Buffer>, std::shared_ptr<facebook::velox::BaseVector> const&, boost::intrusive_ptr<facebook::velox::Buffer>)",OperatorUtils.cpp,0x4005fc0
"facebook::velox::exec::VectorHasher::hashValues<(facebook::velox::TypeKind)4>(facebook::velox::SelectivityVector const&, bool, unsigned long*)::{lambda(int)#3}::operator()",0.0399929,0.0399929,libBOSSVeloxEngine.so,"facebook::velox::exec::VectorHasher::hashValues<(facebook::velox::TypeKind)4>(facebook::velox::SelectivityVector const&, bool, unsigned long*)::{lambda(int)#3}::operator()(int) const",VectorHasher.cpp,0x408fef0
facebook::velox::exec::VectorHasher::hashValues<(facebook::velox::TypeKind)4>,0.0520052,0,libBOSSVeloxEngine.so,"facebook::velox::exec::VectorHasher::hashValues<(facebook::velox::TypeKind)4>(facebook::velox::SelectivityVector const&, bool, unsigned long*)",VectorHasher.cpp,0x4088570
"facebook::velox::exec::VectorHasher::hashValues<(facebook::velox::TypeKind)3>(facebook::velox::SelectivityVector const&, bool, unsigned long*)::{lambda(int)#3}::operator()",0.0320026,0.0320026,libBOSSVeloxEngine.so,"facebook::velox::exec::VectorHasher::hashValues<(facebook::velox::TypeKind)3>(facebook::velox::SelectivityVector const&, bool, unsigned long*)::{lambda(int)#3}::operator()(int) const",VectorHasher.cpp,0x408d600
facebook::velox::exec::VectorHasher::hashValues<(facebook::velox::TypeKind)3>,0.0400003,0,libBOSSVeloxEngine.so,"facebook::velox::exec::VectorHasher::hashValues<(facebook::velox::TypeKind)3>(facebook::velox::SelectivityVector const&, bool, unsigned long*)",VectorHasher.cpp,0x4087430
facebook::velox::exec::test::SingleThreadedTaskCursor::moveNext,0.267978,0,libBOSSVeloxEngine.so,facebook::velox::exec::test::SingleThreadedTaskCursor::moveNext(void),Cursor.cpp,0x1e6eb40
facebook::velox::exec::test::SingleThreadedTaskCursor::hasNext,0.267978,0,libBOSSVeloxEngine.so,facebook::velox::exec::test::SingleThreadedTaskCursor::hasNext(void),Cursor.cpp,0x1e6ecb0
facebook::velox::exec::test::PlanBuilder::~PlanBuilder,0.0104547,0,libBOSSVeloxEngine.so,facebook::velox::exec::test::PlanBuilder::~PlanBuilder(void),PlanBuilder.h,0x1db9440
